sent_0|291|I enjoy learning business and technical knowledge about (Purchasing) module.
sent_1|291|The more difficult it is to understand business and technical knowledge about the (Purchasing) module, the more I enjoy learning it. (1)
sent_2|291|I enjoy learning business and technical knowledge about the (Purchasing) module that are completely new to me.
sent_3|291|I have to feel that I'm personally benefitting from learning business and technical knowledge about the (Purchasing) module. (1,2)
sent_4|291|I want to find out how good I really can be at learning business and technical knowledge about the (Purchasing) module.
sent_5|291|I'm more comfortable when I can set my own goals for learning business and technical knowledge about the (Purchasing) module. (2)
sent_6|291|Using the system is a bad/good idea.
sent_7|291|Using the system is a foolish/wise idea.
sent_8|291|I dislike/like the idea of using the system.
sent_9|291|Using the system is unpleasant/pleasant.
sent_10|291|I find using the system to be enjoyable.
sent_11|291|The actual process of using the system is pleasant.
sent_12|291|I have fun using the system.
sent_13|291|The system makes work more interesting.
sent_14|291|Working with the system is fun.
sent_15|291|The system is okay for some jobs, but not the kind of job I want.
sent_16|291|I like working with the system.
sent_17|291|I look forward to those aspects of my job that require me to use the system.
sent_18|291|Using the system is frustrating for me.
sent_19|291|Once I start working on the system, I find it hard to stop.
sent_20|291|I get bored quickly when using the system.
sent_21|291|Using the system is a bad/good idea.
sent_22|291|The system makes work more interesting.
sent_23|291|Working with the system is fun.
sent_24|291|I like working with the system.
sent_25|291|I have fun interacting with the Web.
sent_26|291|Using the Web provides me with a lot of enjoyment.
sent_27|291|I enjoy using the Web.
sent_28|291|Using the Web bores me.
sent_29|291|Using the Web excites my curiosity.
sent_30|291|Interacting with the Web makes me curious.
sent_31|291|Using the Web arouses my imagination.
sent_32|291|I like working with computers.
sent_33|291|I look forward to those aspects of my job that require me to use a computer.
sent_34|291|Once I start working on the computer, I find it hard to so.
sent_35|291|Using a computer is frustrating for me.
sent_36|291|I get bored quickly when working on a computer.
sent_37|291|I like working with computers.
sent_38|291|Once I get working on the computer, I find it hard to stop.
sent_39|291|PCs make work more interesting.
sent_40|291|Working with a PC is fun.
sent_41|291|PCs are okay for some jobs but not the kind of job I want.
sent_42|291|Using the CRC is a (bad/good) idea.
sent_43|291|Using the CRC is a (foolish/wise) idea.
sent_44|291|I (dislike/like) the idea of using the CRC.
sent_45|291|Using the CRC would be: (unpleasant/ pleasant).
sent_46|291|I think Xӳ Internet site is very exciting.
sent_47|291|The enthusiasm of Xӳ Internet site is catching; it picks me up.
sent_48|291|X doesnӴ just sell products; it entertains me.
sent_49|291|I enjoy shopping from Xӳ Internet site for its own sake, not just for the items I may have purchased.
sent_50|291|I shop from Xӳ Internet site for the pure enjoyment of it.
